Index,Title,Available Brands,Link
0,Aluminium Hydroxide + Magnesium Hydroxide,36,https://medex.com.bd/generics/19/aluminium-hydroxide-magnesium-hydroxide
1,Aluminium Hydroxide + Magnesium Hydroxide + Simethicone,38,https://medex.com.bd/generics/20/aluminium-hydroxide-magnesium-hydroxide-simethicone
2,Aluminium Oxide + Magnesium Trisilicate,2,https://medex.com.bd/generics/1297/aluminium-oxide-magnesium-trisilicate
3,Alverine Citrate,7,https://medex.com.bd/generics/49/alverine-citrate
4,Amantadine Hydrochloride,4,https://medex.com.bd/generics/50/amantadine-hydrochloride
5,Ambrisentan,2,https://medex.com.bd/generics/51/ambrisentan
6,Ambroxol Hydrochloride,117,https://medex.com.bd/generics/53/ambroxol-hydrochloride
7,Amikacin,16,https://medex.com.bd/generics/54/amikacin
8,Amino Acid,1,https://medex.com.bd/generics/1890/amino-acid
9,Amino Acid + Calcium,1,https://medex.com.bd/generics/1213/amino-acid-calcium
10,Amino Acid Ketoanalogues,7,https://medex.com.bd/generics/1662/amino-acid-ketoanalogues
11,"Amino Acid, D-Sorbitol & Electrolytes",21,https://medex.com.bd/generics/55/amino-acid-d-sorbitol-electrolytes
12,"Amino Acid, D-sorbitol, Vitamins & Electrolytes",2,https://medex.com.bd/generics/2176/amino-acid-d-sorbitol-vitamins-electrolytes
13,"Amino Acid, Dextrose & Eloctrolytes",1,https://medex.com.bd/generics/1788/amino-acid-dextrose-eloctrolytes
14,"Amino acids, Glucose & Electrolytes",9,https://medex.com.bd/generics/57/amino-acids-glucose-electrolytes
15,Aminocaproic acid,5,https://medex.com.bd/generics/56/aminocaproic-acid
16,Aminophylline,9,https://medex.com.bd/generics/58/aminophylline
17,Amiodarone Hydrochloride,6,https://medex.com.bd/generics/59/amiodarone-hydrochloride
18,Amisulpride,10,https://medex.com.bd/generics/1649/amisulpride
19,Amitriptyline Hydrochloride,14,https://medex.com.bd/generics/60/amitriptyline-hydrochloride
0,Amitriptyline Hydrochloride + Chlordiazepoxide,16,https://medex.com.bd/generics/622/amitriptyline-hydrochloride-chlordiazepoxide
1,Amlexanox,4,https://medex.com.bd/generics/61/amlexanox
2,Amlodipine Besilate,81,https://medex.com.bd/generics/62/amlodipine-besilate
3,Amlodipine Besilate + Atenolol,71,https://medex.com.bd/generics/63/amlodipine-besilate-atenolol
4,Amlodipine Besilate + Atorvastatin,12,https://medex.com.bd/generics/68/amlodipine-besilate-atorvastatin
5,Amlodipine Besilate + Benazepril Hydrochloride,10,https://medex.com.bd/generics/64/amlodipine-besilate-benazepril-hydrochloride
6,Amlodipine Besilate + Olmesartan Medoxomil,65,https://medex.com.bd/generics/65/amlodipine-besilate-olmesartan-medoxomil
7,Amlodipine Besilate + Telmisartan,44,https://medex.com.bd/generics/66/amlodipine-besilate-telmisartan
8,Amlodipine Besilate + Valsartan,20,https://medex.com.bd/generics/67/amlodipine-besilate-valsartan
9,Amorolfine Hydrochloride (cream),2,https://medex.com.bd/generics/1648/amorolfine-hydrochloride-cream
10,Amorolfine Hydrochloride (Nail Lacquer),1,https://medex.com.bd/generics/1775/amorolfine-hydrochloride-nail-lacquer
11,Amoxicillin + Clavulanic Acid,87,https://medex.com.bd/generics/70/amoxicillin-clavulanic-acid
12,Amoxicillin Trihydrate,214,https://medex.com.bd/generics/69/amoxicillin-trihydrate
13,Amphotericin B,2,https://medex.com.bd/generics/1239/amphotericin-b
14,Ampicillin Sodium,13,https://medex.com.bd/generics/71/ampicillin-sodium
15,Anastrozole,8,https://medex.com.bd/generics/72/anastrozole
16,Anidulafungin,3,https://medex.com.bd/generics/1798/anidulafungin
17,Antazoline + Tetryzoline,2,https://medex.com.bd/generics/79/antazoline-tetryzoline
18,Anti-human T-lymphocyte immunoglobulin,1,https://medex.com.bd/generics/2134/anti-human-t-lymphocyte-immunoglobulin
19,Anti-Thymocyte Globulin,1,https://medex.com.bd/generics/1560/anti-thymocyte-globulin
0,Antihemophilic Factor [Factor VIII],1,https://medex.com.bd/generics/73/antihemophilic-factor-factor-viii
1,Antioxidants and Micronutrients,1,https://medex.com.bd/generics/1666/antioxidants-and-micronutrients
2,Apalutamide,2,https://medex.com.bd/generics/2174/apalutamide
3,Apis mellifica + Gelsemium sempervirens + Gnaphalium,1,https://medex.com.bd/generics/1895/apis-mellifica-gelsemium-sempervirens-gnaphalium
4,Apixaban,14,https://medex.com.bd/generics/1400/apixaban
5,Apremilast,11,https://medex.com.bd/generics/1378/apremilast
6,Aprepitant,10,https://medex.com.bd/generics/74/aprepitant
7,"Aqua, glycerin, PEG-40 hydrogenated castor oil, carbomer, Biolin, tocopheryl acetate",1,https://medex.com.bd/generics/2189/aqua-glycerin-peg-40-hydrogenated-castor-oil-carbomer-biolin-tocopheryl-acetate
8,Arabinoxylan,2,https://medex.com.bd/generics/1488/arabinoxylan
9,Arformoterol Tartrate,1,https://medex.com.bd/generics/1815/arformoterol-tartrate
10,Aripiprazole,13,https://medex.com.bd/generics/75/aripiprazole
11,Armodafinil,3,https://medex.com.bd/generics/1372/armodafinil
12,Arsenic Trioxide,1,https://medex.com.bd/generics/2322/arsenic-trioxide
13,Artemether + Lumefantrine,6,https://medex.com.bd/generics/81/artemether-lumefantrine
14,Artesunate,3,https://medex.com.bd/generics/82/artesunate
15,Articaine Hydrochloride + Epinephrine Bitartrate,1,https://medex.com.bd/generics/83/articaine-hydrochloride-epinephrine-bitartrate
16,Asciminib,1,https://medex.com.bd/generics/2438/asciminib
17,Asenapine Maleate,1,https://medex.com.bd/generics/2277/asenapine-maleate
18,Aspartame,8,https://medex.com.bd/generics/84/aspartame
19,Aspirin,17,https://medex.com.bd/generics/85/aspirin
0,Aspirin + Dipyridamole,1,https://medex.com.bd/generics/1299/aspirin-dipyridamole
1,Astaxanthin,20,https://medex.com.bd/generics/87/astaxanthin
2,Atenolol,47,https://medex.com.bd/generics/88/atenolol
3,Atenolol + Chlorthalidone,5,https://medex.com.bd/generics/89/atenolol-chlorthalidone
4,Atezolizumab,1,https://medex.com.bd/generics/1500/atezolizumab
5,Atomoxetine Hydrochloride,4,https://medex.com.bd/generics/91/atomoxetine-hydrochloride
6,Atorvastatin + Ezetimibe,27,https://medex.com.bd/generics/2049/atorvastatin-ezetimibe
7,Atorvastatin Calcium,142,https://medex.com.bd/generics/92/atorvastatin-calcium
8,Atosiban Acetate,6,https://medex.com.bd/generics/1819/atosiban-acetate
9,Atracurium Besilate,2,https://medex.com.bd/generics/93/atracurium-besilate
10,Atropine Sulfate (Injection),5,https://medex.com.bd/generics/94/atropine-sulfate-injection
11,Atropine Sulfate (Ophthalmic),10,https://medex.com.bd/generics/2313/atropine-sulfate-ophthalmic
12,Avanafil,2,https://medex.com.bd/generics/1396/avanafil
13,Avatrombopag,2,https://medex.com.bd/generics/2177/avatrombopag
14,Axitinib,1,https://medex.com.bd/generics/1383/axitinib
15,Azacitidine,4,https://medex.com.bd/generics/2104/azacitidine
16,Azathioprine,2,https://medex.com.bd/generics/96/azathioprine
17,Azelaic Acid,1,https://medex.com.bd/generics/97/azelaic-acid
18,Azelastine Hydrochloride,4,https://medex.com.bd/generics/98/azelastine-hydrochloride
19,Azelastine Hydrochloride + Fluticasone Propionate,7,https://medex.com.bd/generics/1300/azelastine-hydrochloride-fluticasone-propionate
0,Azilsartan Medoxomil,10,https://medex.com.bd/generics/99/azilsartan-medoxomil
1,Azilsartan Medoxomil + Chlorthalidone,2,https://medex.com.bd/generics/1634/azilsartan-medoxomil-chlorthalidone
2,Azithromycin Dihydrate,285,https://medex.com.bd/generics/100/azithromycin-dihydrate
3,Azithromycin Dihydrate (Ophthalmic),5,https://medex.com.bd/generics/1865/azithromycin-dihydrate-ophthalmic
4,Aztreonam,2,https://medex.com.bd/generics/101/aztreonam
5,Bacillus Clausii spores,1,https://medex.com.bd/generics/1474/bacillus-clausii-spores
6,Bacitracin Zinc + Polymyxin B Sulfate,2,https://medex.com.bd/generics/104/bacitracin-zinc-polymyxin-b-sulfate
7,Baclofen,98,https://medex.com.bd/generics/105/baclofen
8,Balanced Salt Solution,3,https://medex.com.bd/generics/994/balanced-salt-solution
9,Baloxavir Marboxil,4,https://medex.com.bd/generics/1883/baloxavir-marboxil
10,Bambuterol Hydrochloride,15,https://medex.com.bd/generics/106/bambuterol-hydrochloride
11,Baricitinib,14,https://medex.com.bd/generics/1581/baricitinib
12,Barium Sulfate,1,https://medex.com.bd/generics/107/barium-sulfate
13,Basiliximab,1,https://medex.com.bd/generics/108/basiliximab
14,Beclometasone + Formoterol + Glycopyrronium,2,https://medex.com.bd/generics/2421/beclometasone-formoterol-glycopyrronium
15,Beclomethasone Dipropionate (Inhaler),11,https://medex.com.bd/generics/109/beclomethasone-dipropionate-inhaler
16,Beclomethasone Dipropionate (Nasal Spray),2,https://medex.com.bd/generics/1221/beclomethasone-dipropionate-nasal-spray
17,Beclomethasone Dipropionate + Chloramphenicol + Clotrimazole + Lidocaine,1,https://medex.com.bd/generics/1781/beclomethasone-dipropionate-chloramphenicol-clotrimazole-lidocaine
18,Beclomethasone Dipropionate + Formoterol Fumarate,4,https://medex.com.bd/generics/1592/beclomethasone-dipropionate-formoterol-fumarate
19,Bempedoic acid,6,https://medex.com.bd/generics/1967/bempedoic-acid
0,Bempedoic acid + Ezetimibe,1,https://medex.com.bd/generics/2216/bempedoic-acid-ezetimibe
1,Bendamustine,1,https://medex.com.bd/generics/1288/bendamustine
2,Benzalkonium chloride,1,https://medex.com.bd/generics/1600/benzalkonium-chloride
3,Benzathine Penicillin,5,https://medex.com.bd/generics/110/benzathine-penicillin
4,Benzocaine + Butamben + Tetracaine Hydrochloride,1,https://medex.com.bd/generics/1470/benzocaine-butamben-tetracaine-hydrochloride
5,Benzoic Acid + Salicylic Acid,15,https://medex.com.bd/generics/113/benzoic-acid-salicylic-acid
6,Benzonatate,1,https://medex.com.bd/generics/2086/benzonatate
7,Benzoyl Peroxide,4,https://medex.com.bd/generics/114/benzoyl-peroxide
8,Benzydamine + Chlorhexidine gluconate,2,https://medex.com.bd/generics/2311/benzydamine-chlorhexidine-gluconate
9,Benzydamine Hydrochloride,3,https://medex.com.bd/generics/1432/benzydamine-hydrochloride
10,Benzyl Benzoate,12,https://medex.com.bd/generics/115/benzyl-benzoate
11,Bepotastine Besilate,8,https://medex.com.bd/generics/118/bepotastine-besilate
12,Besifloxacin,9,https://medex.com.bd/generics/119/besifloxacin
13,Betacarotene + Vitamin C + Vitamin E,43,https://medex.com.bd/generics/120/betacarotene-vitamin-c-vitamin-e
14,Betahistine Dihydrochloride,12,https://medex.com.bd/generics/121/betahistine-dihydrochloride
15,Betahistine Mesylate,1,https://medex.com.bd/generics/122/betahistine-mesylate
16,Betamethasone,1,https://medex.com.bd/generics/1617/betamethasone
17,Betamethasone + Calcipotriol,5,https://medex.com.bd/generics/126/betamethasone-calcipotriol
18,Betamethasone + Clotrimazole,18,https://medex.com.bd/generics/127/betamethasone-clotrimazole
19,Betamethasone + Clotrimazole + Gentamicin,5,https://medex.com.bd/generics/125/betamethasone-clotrimazole-gentamicin
0,Betamethasone + Neomycin Sulphate (E/E),10,https://medex.com.bd/generics/124/betamethasone-neomycin-sulphate-ee
1,Betamethasone + Neomycin Sulphate (Topical),30,https://medex.com.bd/generics/1226/betamethasone-neomycin-sulphate-topical
2,Betamethasone + Phenylephrine + Lignocaine,2,https://medex.com.bd/generics/1164/betamethasone-phenylephrine-lignocaine
3,Betamethasone Dipropionate,4,https://medex.com.bd/generics/123/betamethasone-dipropionate
4,Betamethasone Dipropionate + Salicylic Acid,7,https://medex.com.bd/generics/1189/betamethasone-dipropionate-salicylic-acid
5,Betamethasone Sodium Phosphate,5,https://medex.com.bd/generics/1616/betamethasone-sodium-phosphate
6,Betamethasone Valerate,18,https://medex.com.bd/generics/1615/betamethasone-valerate
7,Betaxolol Hydrochloride,4,https://medex.com.bd/generics/130/betaxolol-hydrochloride
8,Bethanechol Chloride,1,https://medex.com.bd/generics/2227/bethanechol-chloride
9,Betrixaban,2,https://medex.com.bd/generics/1579/betrixaban
10,Bevacizumab,8,https://medex.com.bd/generics/131/bevacizumab
11,Bicalutamide,5,https://medex.com.bd/generics/1289/bicalutamide
12,Bicarbonate Component [HCO3 Hemodialysis Solution],5,https://medex.com.bd/generics/993/bicarbonate-component-hco3-hemodialysis-solution
13,Bilastine,65,https://medex.com.bd/generics/1457/bilastine
14,Bimatoprost,3,https://medex.com.bd/generics/132/bimatoprost
15,Bimatoprost + Timolol,1,https://medex.com.bd/generics/1301/bimatoprost-timolol
16,Bioderma Topical Preparation,44,https://medex.com.bd/generics/2301/bioderma-topical-preparation
17,Biphasic Insulin Aspart,2,https://medex.com.bd/generics/611/biphasic-insulin-aspart
18,Bisacodyl,1,https://medex.com.bd/generics/133/bisacodyl
19,Bismuth Subsalicylate,7,https://medex.com.bd/generics/134/bismuth-subsalicylate
0,Bisoprolol Fumarate,96,https://medex.com.bd/generics/135/bisoprolol-fumarate
1,Bisoprolol Fumarate + Amlodipine Besilate,17,https://medex.com.bd/generics/1433/bisoprolol-fumarate-amlodipine-besilate
2,Bisoprolol Fumarate + Hydrochlorothiazide,34,https://medex.com.bd/generics/136/bisoprolol-fumarate-hydrochlorothiazide
3,Bivalirudin,1,https://medex.com.bd/generics/1475/bivalirudin
4,Bleomycin Sulfate,2,https://medex.com.bd/generics/137/bleomycin-sulfate
5,Blood glucose monitoring device,63,https://medex.com.bd/generics/2156/blood-glucose-monitoring-device
6,Bortezomib,4,https://medex.com.bd/generics/1387/bortezomib
7,Bosentan Monohydrate,1,https://medex.com.bd/generics/138/bosentan-monohydrate
8,BP monitoring device,37,https://medex.com.bd/generics/2390/bp-monitoring-device
9,Brexpiprazole,4,https://medex.com.bd/generics/1562/brexpiprazole
10,Brigatinib,7,https://medex.com.bd/generics/1641/brigatinib
11,Brimonidine Tartrate,8,https://medex.com.bd/generics/139/brimonidine-tartrate
12,Brimonidine Tartrate + Timolol Maleate,19,https://medex.com.bd/generics/140/brimonidine-tartrate-timolol-maleate
13,Brinzolamide,14,https://medex.com.bd/generics/142/brinzolamide
14,Brinzolamide + Brimonidine Tartrate,11,https://medex.com.bd/generics/141/brinzolamide-brimonidine-tartrate
15,Brinzolamide + Timolol,5,https://medex.com.bd/generics/1282/brinzolamide-timolol
16,Brivaracetam,14,https://medex.com.bd/generics/1566/brivaracetam
17,Brolucizumab,1,https://medex.com.bd/generics/2190/brolucizumab
18,Bromazepam,44,https://medex.com.bd/generics/143/bromazepam
19,Bromelain + Trypsin,1,https://medex.com.bd/generics/148/bromelain-trypsin
0,Bromfenac Sodium,22,https://medex.com.bd/generics/144/bromfenac-sodium
1,Bromhexine Hydrochloride,48,https://medex.com.bd/generics/145/bromhexine-hydrochloride
2,Bromocriptine Mesylate,6,https://medex.com.bd/generics/149/bromocriptine-mesylate
3,Budesonide (Inhaler),1,https://medex.com.bd/generics/1654/budesonide-inhaler
4,Budesonide (Nasal Spray),5,https://medex.com.bd/generics/1652/budesonide-nasal-spray
5,Budesonide (Nebuliser Suspension),5,https://medex.com.bd/generics/146/budesonide-nebuliser-suspension
6,Budesonide (Tablet),1,https://medex.com.bd/generics/1653/budesonide-tablet
7,Budesonide + Formoterol Fumarate,46,https://medex.com.bd/generics/150/budesonide-formoterol-fumarate
8,Bumetanide,6,https://medex.com.bd/generics/151/bumetanide
9,Bupivacaine Hydrochloride,4,https://medex.com.bd/generics/152/bupivacaine-hydrochloride
10,Bupivacaine Hydrochloride + Dextrose,9,https://medex.com.bd/generics/153/bupivacaine-hydrochloride-dextrose
11,Bupropion Hydrochloride,2,https://medex.com.bd/generics/155/bupropion-hydrochloride
12,Busulfan,1,https://medex.com.bd/generics/157/busulfan
13,Butamirate Citrate,64,https://medex.com.bd/generics/158/butamirate-citrate
14,Butenafine Hydrochloride,2,https://medex.com.bd/generics/159/butenafine-hydrochloride
15,Cabazitaxel,1,https://medex.com.bd/generics/1286/cabazitaxel
16,Cabergoline,8,https://medex.com.bd/generics/1434/cabergoline
17,Cabozantinib,9,https://medex.com.bd/generics/1487/cabozantinib
18,Caffeine Citrate,1,https://medex.com.bd/generics/2035/caffeine-citrate
19,Calamine + Zinc Oxide + Glycerine,4,https://medex.com.bd/generics/163/calamine-zinc-oxide-glycerine
0,Calcipotriol Monohydrate,4,https://medex.com.bd/generics/164/calcipotriol-monohydrate
1,Calcitriol,15,https://medex.com.bd/generics/165/calcitriol
2,Calcium + Vitamin D3 + Multimineral,35,https://medex.com.bd/generics/168/calcium-vitamin-d3-multimineral
3,Calcium + Vitamin D3 + Vitamin C + Vitamin E + Multimineral,1,https://medex.com.bd/generics/167/calcium-vitamin-d3-vitamin-c-vitamin-e-multimineral
4,Calcium Acetate,4,https://medex.com.bd/generics/171/calcium-acetate
5,Calcium acetate +  Magnesium carbonate,1,https://medex.com.bd/generics/2076/calcium-acetate-magnesium-carbonate
6,Calcium Citrate + Calcitriol,5,https://medex.com.bd/generics/166/calcium-citrate-calcitriol
7,Calcium Dobesilate,7,https://medex.com.bd/generics/1438/calcium-dobesilate
8,Calcium Dobesilate + Lidocaine + Dexamethasone,6,https://medex.com.bd/generics/1459/calcium-dobesilate-lidocaine-dexamethasone
9,Calcium Gluconate,4,https://medex.com.bd/generics/182/calcium-gluconate
10,Calcium Lactate,11,https://medex.com.bd/generics/185/calcium-lactate
11,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C,15,https://medex.com.bd/generics/174/calcium-lactate-gluconate-calcium-carbonate-vitamin-c
12,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin C + Vitamin D3,8,https://medex.com.bd/generics/2044/calcium-lactate-gluconate-calcium-carbonate-vitamin-c-vitamin-d3
13,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin D3,4,https://medex.com.bd/generics/1201/calcium-lactate-gluconate-calcium-carbonate-vitamin-d3
14,Calcium Lactate Gluconate + Calcium Carbonate + Vitamin D3 + Multiminerals,1,https://medex.com.bd/generics/2141/calcium-lactate-gluconate-calcium-carbonate-vitamin-d3-multiminerals
15,Calcium Orotate,39,https://medex.com.bd/generics/186/calcium-orotate
16,Calcium Pantothenate,1,https://medex.com.bd/generics/187/calcium-pantothenate
17,Calcium Phosphate [Milk source] + Vitamin D3,1,https://medex.com.bd/generics/2083/calcium-phosphate-milk-source-vitamin-d3
18,Calcium Polystyrene Sulfonate,1,https://medex.com.bd/generics/1574/calcium-polystyrene-sulfonate
19,Camphor + Menthol + Oil Clove + Oil Eucalyptus + Oil Turpentine,2,https://medex.com.bd/generics/246/camphor-menthol-oil-clove-oil-eucalyptus-oil-turpentine
0,Canagliflozin Hemihydrate,5,https://medex.com.bd/generics/245/canagliflozin-hemihydrate
1,Candesartan Cilexetil,4,https://medex.com.bd/generics/191/candesartan-cilexetil
2,Candesartan Cilexetil + Hydrochlorothiazide,1,https://medex.com.bd/generics/192/candesartan-cilexetil-hydrochlorothiazide
3,Capecitabine,16,https://medex.com.bd/generics/193/capecitabine
4,Capmatinib Hydrochloride,1,https://medex.com.bd/generics/2439/capmatinib-hydrochloride
5,Capsaicin,2,https://medex.com.bd/generics/194/capsaicin
6,Captopril,7,https://medex.com.bd/generics/195/captopril
7,Carbamazepine,20,https://medex.com.bd/generics/196/carbamazepine
8,Carbamide Peroxide,1,https://medex.com.bd/generics/2186/carbamide-peroxide
9,Carbetocin,5,https://medex.com.bd/generics/197/carbetocin
10,Carbimazole,3,https://medex.com.bd/generics/200/carbimazole
11,Carbocisteine,14,https://medex.com.bd/generics/201/carbocisteine
12,Carbonyl Iron + Folic Acid,2,https://medex.com.bd/generics/244/carbonyl-iron-folic-acid
13,Carbonyl Iron + Folic Acid + Zinc Sulfate,31,https://medex.com.bd/generics/202/carbonyl-iron-folic-acid-zinc-sulfate
14,Carbonyl Iron + Folic Acid + Zinc Sulfate + Vitamin B Complex + Vitamin C,17,https://medex.com.bd/generics/203/carbonyl-iron-folic-acid-zinc-sulfate-vitamin-b-complex-vitamin-c
15,Carboplatin,10,https://medex.com.bd/generics/204/carboplatin
16,Carboprost Tromethamine,1,https://medex.com.bd/generics/1401/carboprost-tromethamine
17,Carboxymethylcellulose Sodium,30,https://medex.com.bd/generics/205/carboxymethylcellulose-sodium
18,Carboxymethylcellulose Sodium + Glycerin,7,https://medex.com.bd/generics/206/carboxymethylcellulose-sodium-glycerin
19,Carboxymethylcellulose Sodium + Hypromellose,7,https://medex.com.bd/generics/207/carboxymethylcellulose-sodium-hypromellose
0,Carfilzomib,2,https://medex.com.bd/generics/2296/carfilzomib
1,Cariprazine,2,https://medex.com.bd/generics/2387/cariprazine
2,Carisoprodol,6,https://medex.com.bd/generics/1437/carisoprodol
3,Carmellose Sodium,1,https://medex.com.bd/generics/1621/carmellose-sodium
4,Carmustine,1,https://medex.com.bd/generics/2166/carmustine
5,Carvedilol,46,https://medex.com.bd/generics/208/carvedilol
6,Caspofungin Acetate,2,https://medex.com.bd/generics/2080/caspofungin-acetate
7,Cefaclor Monohydrate,36,https://medex.com.bd/generics/209/cefaclor-monohydrate
8,Cefadroxil Monohydrate,32,https://medex.com.bd/generics/210/cefadroxil-monohydrate
9,Cefazolin Sodium,5,https://medex.com.bd/generics/1454/cefazolin-sodium
10,Cefdinir,12,https://medex.com.bd/generics/211/cefdinir
11,Cefditoren,9,https://medex.com.bd/generics/212/cefditoren
12,Cefepime Hydrochloride,55,https://medex.com.bd/generics/215/cefepime-hydrochloride
13,Cefixime Trihydrate,383,https://medex.com.bd/generics/217/cefixime-trihydrate
14,Cefoperazone Sodium,11,https://medex.com.bd/generics/1415/cefoperazone-sodium
15,Cefotaxime,26,https://medex.com.bd/generics/218/cefotaxime
16,Cefpodoxime Proxetil,100,https://medex.com.bd/generics/220/cefpodoxime-proxetil
17,Cefpodoxime Proxetil + Clavulanic Acid,9,https://medex.com.bd/generics/221/cefpodoxime-proxetil-clavulanic-acid
18,Ceftaroline Fosamil,2,https://medex.com.bd/generics/2332/ceftaroline-fosamil
19,Ceftazidime + Avibactam,4,https://medex.com.bd/generics/2029/ceftazidime-avibactam
0,Ceftazidime Pentahydrate,57,https://medex.com.bd/generics/223/ceftazidime-pentahydrate
1,Ceftibuten Dihydrate,43,https://medex.com.bd/generics/224/ceftibuten-dihydrate
2,Ceftriaxone Sodium,299,https://medex.com.bd/generics/225/ceftriaxone-sodium
3,Cefuroxime Axetil,272,https://medex.com.bd/generics/226/cefuroxime-axetil
4,Cefuroxime Axetil + Clavulanic Acid,169,https://medex.com.bd/generics/227/cefuroxime-axetil-clavulanic-acid
5,Celiprolol Hydrochloride,2,https://medex.com.bd/generics/1801/celiprolol-hydrochloride
